Names	Species	Order	Family	Common Name	Origin	Status	GeoArea	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Dimorphism	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play	"Status (Endangered, Vulnerable, Common, Abundant, Rare (or sparse), Declining, Limited)"	BodyM	BodyF	ased
Gracilinanus_microtarsus	Gracilinanus microtarsus	Didelphimorphia	Didelphidae	Brazilian gracile mouse opossum	3	1	Am	22.93	0.71	1	1	2	4	1	1	1		10	90	0.14	16		1		C			0.030963803
Gymnobelideus_leadbeateri	Gymnobelideus leadbeateri	Diprotodontia	Petauridae	Leadbeaters possum	1	2	N	127.5	2.85	1	1	1	3	2	2	2		1.5	115.5	2	2.6	227.9	0	2	L			0.022352941
Hemibelideus_lemuroides	Hemibelideus lemuroides	Diprotodontia	Pseudocheiridae	Lemuroid ringtail possum	1	2	N	974.5	3.15	1	1	1	1	2	2	2	0.905180841	1		1.2	7	654.8			L	926	1023	0.003232427
Hyladelphys_kalinowskii	Hyladelphys kalinowskii	Didelphimorphia	Didelphidae	Kalinowski's mouse opossum	3	1	Am	13.13	0.565	1	1	1		2				3							C			0.043031226
Isoodon_macrourus	Isoodon macrourus	Paramelemorphia	Peramelidae	Northen brown bandicoot	1	1	C	1600	4.42	3	2	2	3	1	1	1	1.909090909	3.3	60	6	0.7	737.2	0		C	2100	1100	0.0027625
Isoodon_obesulus	Isoodon obesulus	Paramelemorphia	Peramelidae	Southern brown bandicoot	1	2	S	755	3.89	3	2	2	3	1	1	1	1.435483871	2.7	62.5	5	1.82	549.1	0	1	E	890	620	0.005152318
Lagorchestes_conspicillatus	Lagorchestes conspicillatus	Diprotodontia	Macropodidae	Spectacled hare wallaby	1	1	N	3175	14	1	2	3	1	1	1	1		1	204	10	0.42	679.7	0	2	A			0.004409449
Lagorchestes_hirsutus	Lagorchestes hirsutus	Diprotodontia	Macropodidae	Rufous hare wallaby	1	2	W	1660	7.77	3	2	3	1	1	1	1	0.908045977	1	150		0.27	534.9			L	1580	1740	0.004680723
Lagostrophus_fasciatus	Lagostrophus fasciatus	Diprotodontia	Macropodidae	Banded hare wallaby	1	2	W	1600	7	1	2	3	1	2	1	2		1	270		0.88	703.7			V			0.004375
Lasiorhinus_latifrons	Lasiorhinus latifrons	Diprotodontia	Vombatidae	Southern hairy nosed wombat	1	2	N	27125	55.5	1	2	1	1	1	1	1	1.028037383	1	333	4.8	2.74	3133.3	0	3	L	27500	26750	0.002046083
